Date,Сахар,Notes (Сахар),Жареное (с маслом),Notes (Жареное (с маслом)),Мучное,Notes (Мучное),Жареная пища в панировке / фритюре,Notes (Жареная пища в панировке / фритюре),Хлеб (и тортильи),Notes (Хлеб (и тортильи)),"Не доел, когда наелся","Notes (Не доел, когда наелся)",Сладкие газировки,Notes (Сладкие газировки),Чипсы,Notes (Чипсы),No Coffee,Notes (No Coffee),Alcohol,Notes (Alcohol),Sneeze,Notes (Sneeze),No porn,Notes (No porn)
18.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,-,-,Green,-,Red,-
19.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,-,-,Green,-,Green,-
20.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,-,-,Red,-,Green,-
21.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,-,-,Red,-,Green,-
22.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Red,-,Red,-,Green,-
23.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Green,-,Green,-,Green,-
24.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Red,-,Green,-,Green,-
25.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Red,-,Green,-,Red,-
26.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Green,-,Green,-,Green,-
27.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Green,-,Green,-,Red,-
28.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Green,-,Green,-,Red,-
29.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Green,-,Red,-,Green,-
30.05.2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green,-,Green,-,Red,-,Red,-
