full_date,date,weekday,time,mood,activities,note_title,note
2025-08-02,2 Aug,Saturday,14:08,meh,,"",""
2025-08-01,1 Aug,Friday,23:59,good,,"",""
2025-08-01,1 Aug,Friday,10:18,meh,,"",""
2025-07-31,31 Jul,Thursday,20:00,good,,"",""
2025-07-31,31 Jul,Thursday,12:42,meh,,"",""
2025-07-30,30 Jul,Wednesday,09:08,meh,,"",""
2025-07-29,29 Jul,Tuesday,11:29,meh,,"",""
2025-07-28,28 Jul,Monday,20:01,meh,,"",""
2025-07-28,28 Jul,Monday,20:00,bad,,"",""
2025-07-27,27 Jul,Sunday,09:54,meh,,"",""
2025-07-26,26 Jul,Saturday,15:46,meh,,"",""
2025-07-26,26 Jul,Saturday,15:46,bad,,"",""
2025-07-25,25 Jul,Friday,20:00,awful,,"",""
2025-07-25,25 Jul,Friday,10:16,meh,,"",""
2025-07-24,24 Jul,Thursday,14:17,good,,"",""
2025-07-23,23 Jul,Wednesday,10:16,good,,"",""
2025-07-23,23 Jul,Wednesday,10:16,meh,,"",""
2025-07-22,22 Jul,Tuesday,14:08,meh,,"",""
2025-07-22,22 Jul,Tuesday,14:08,good,,"",""
2025-07-21,21 Jul,Monday,14:15,meh,,"",""
2025-07-20,20 Jul,Sunday,20:00,meh,,"",""
2025-07-20,20 Jul,Sunday,09:54,good,,"",""
2025-07-19,19 Jul,Saturday,11:04,good,,"",""
2025-07-18,18 Jul,Friday,07:48,good,,"",""
2025-07-17,17 Jul,Thursday,23:52,good,,"",""
2025-07-17,17 Jul,Thursday,23:52,meh,,"",""
2025-07-16,16 Jul,Wednesday,10:14,good,,"",""
2025-07-15,15 Jul,Tuesday,20:00,good,,"",""
2025-07-15,15 Jul,Tuesday,08:30,meh,,"",""
2025-07-14,14 Jul,Monday,20:00,meh,,"",""
2025-07-13,13 Jul,Sunday,08:30,good,,"",""
2025-07-12,12 Jul,Saturday,08:30,good,,"",""
2025-07-11,11 Jul,Friday,08:30,good,,"",""
2025-07-10,10 Jul,Thursday,09:32,meh,,"",""
2025-07-09,9 Jul,Wednesday,17:14,meh,,"",""
2025-07-09,9 Jul,Wednesday,08:39,good,,"",""
2025-07-08,8 Jul,Tuesday,08:09,good,,"",""
2025-07-07,7 Jul,Monday,14:57,meh,,"",""
2025-07-06,6 Jul,Sunday,18:27,bad,,"",""
2025-07-06,6 Jul,Sunday,16:40,good,,"",""
2025-07-05,5 Jul,Saturday,17:35,good,,"",""
2025-07-04,4 Jul,Friday,23:56,meh,,"",""
2025-07-03,3 Jul,Thursday,20:00,meh,,"",""
2025-07-02,2 Jul,Wednesday,23:57,bad,,"",""
2025-07-01,1 Jul,Tuesday,08:36,meh,,"",""
2025-06-30,30 Jun,Monday,20:00,good,,"",""
2025-06-30,30 Jun,Monday,08:30,meh,,"",""
2025-06-29,29 Jun,Sunday,20:00,bad,,"",""
2025-06-29,29 Jun,Sunday,10:39,good,,"",""
2025-06-28,28 Jun,Saturday,20:00,good,,"",""
2025-06-28,28 Jun,Saturday,11:09,meh,,"",""
2025-06-27,27 Jun,Friday,09:43,good,,"",""
2025-06-27,27 Jun,Friday,09:43,meh,,"",""
2025-06-26,26 Jun,Thursday,20:48,meh,,"",""
2025-06-26,26 Jun,Thursday,20:00,good,,"",""
2025-06-25,25 Jun,Wednesday,20:00,meh,,"",""
2025-06-25,25 Jun,Wednesday,09:57,good,,"",""
2025-06-24,24 Jun,Tuesday,20:00,good,,"",""
2025-06-24,24 Jun,Tuesday,08:28,meh,,"",""
2025-06-23,23 Jun,Monday,23:06,meh,,"",""
2025-06-23,23 Jun,Monday,08:30,good,,"",""
2025-06-22,22 Jun,Sunday,09:19,good,,"",""
2025-06-21,21 Jun,Saturday,14:42,good,,"",""
2025-06-20,20 Jun,Friday,22:47,good,,"",""
2025-06-20,20 Jun,Friday,18:10,bad,,"",""
2025-06-20,20 Jun,Friday,11:59,meh,,"",""
2025-06-19,19 Jun,Thursday,20:01,meh,,"",""
2025-06-19,19 Jun,Thursday,20:00,good,,"",""
2025-06-18,18 Jun,Wednesday,20:00,good,,"",""
2025-06-17,17 Jun,Tuesday,23:16,good,,"",""
2025-06-17,17 Jun,Tuesday,08:36,meh,,"",""
2025-06-16,16 Jun,Monday,20:00,bad,,"",""
2025-06-16,16 Jun,Monday,09:12,good,,"",""
2025-06-15,15 Jun,Sunday,20:00,good,,"",""
2025-06-14,14 Jun,Saturday,09:12,meh,,"",""
2025-06-13,13 Jun,Friday,10:07,meh,,"",""
2025-06-12,12 Jun,Thursday,11:13,good,,"",""
2025-06-11,11 Jun,Wednesday,08:28,meh,,"",""
2025-06-10,10 Jun,Tuesday,13:38,bad,,"",""
2025-06-10,10 Jun,Tuesday,13:37,meh,,"",""
2025-06-09,9 Jun,Monday,20:00,bad,,"",""
2025-06-09,9 Jun,Monday,13:28,meh,,"",""
2025-06-08,8 Jun,Sunday,20:00,meh,,"",""
2025-06-07,7 Jun,Saturday,20:00,good,,"",""
2025-06-06,6 Jun,Friday,20:00,meh,,"",""
2025-06-05,5 Jun,Thursday,08:54,good,,"",""
2025-06-04,4 Jun,Wednesday,20:00,good,,"",""
2025-06-04,4 Jun,Wednesday,17:35,meh,,"",""
2025-06-03,3 Jun,Tuesday,23:54,meh,,"",""
2025-06-02,2 Jun,Monday,20:00,good,,"",""
2025-06-01,1 Jun,Sunday,14:24,good,,"",""
2025-05-31,31 May,Saturday,09:34,good,,"",""
2025-05-30,30 May,Friday,20:00,good,,"",""
2025-05-30,30 May,Friday,08:44,meh,,"",""
2025-05-29,29 May,Thursday,08:37,meh,,"",""
2025-05-28,28 May,Wednesday,17:21,meh,,"",""
2025-05-28,28 May,Wednesday,13:00,good,,"",""
2025-05-27,27 May,Tuesday,20:00,good,,"",""
2025-05-27,27 May,Tuesday,09:14,meh,,"",""
2025-05-26,26 May,Monday,12:09,meh,,"",""
2025-05-25,25 May,Sunday,09:35,meh,,"",""
2025-05-24,24 May,Saturday,20:01,good,,"",""
2025-05-24,24 May,Saturday,20:00,meh,,"",""
2025-05-23,23 May,Friday,08:47,good,,"",""
2025-05-23,23 May,Friday,08:47,meh,,"",""
2025-05-22,22 May,Thursday,12:51,good,,"",""
2025-05-21,21 May,Wednesday,14:40,good,,"",""
2025-05-21,21 May,Wednesday,14:40,meh,,"",""
2025-05-20,20 May,Tuesday,17:56,meh,,"",""
2025-05-19,19 May,Monday,15:27,bad,,"",""
2025-05-19,19 May,Monday,15:27,meh,,"",""
2025-05-18,18 May,Sunday,08:37,meh,,"",""
2025-05-17,17 May,Saturday,08:45,meh,,"",""
2025-05-16,16 May,Friday,20:18,meh,,"",""
2025-05-16,16 May,Friday,20:00,bad,,"",""
2025-05-15,15 May,Thursday,09:58,meh,,"",""
2025-05-14,14 May,Wednesday,09:50,meh,,"",""
2025-05-13,13 May,Tuesday,13:04,meh,,"",""
2025-05-12,12 May,Monday,20:00,meh,,"",""
2025-05-11,11 May,Sunday,13:04,meh,,"",""
2025-05-10,10 May,Saturday,08:39,meh,,"",""
2025-05-09,9 May,Friday,11:04,meh,,"",""
2025-04-25,25 Apr,Friday,21:50,meh,,"",""
2025-04-25,25 Apr,Friday,17:56,good,,"",""
2025-04-24,24 Apr,Thursday,15:49,good,,"",""
2025-04-24,24 Apr,Thursday,15:49,meh,,"",""
2025-04-23,23 Apr,Wednesday,21:38,good,,"",""
2025-04-23,23 Apr,Wednesday,21:38,meh,,"",""
2025-04-22,22 Apr,Tuesday,23:58,meh,,"",""
2025-04-22,22 Apr,Tuesday,23:58,good,,"",""
2025-04-21,21 Apr,Monday,13:56,meh,,"",""
2025-04-20,20 Apr,Sunday,20:01,good,,"",""
2025-04-20,20 Apr,Sunday,20:00,meh,,"",""
2025-04-19,19 Apr,Saturday,10:38,meh,,"",""
2025-04-18,18 Apr,Friday,07:06,meh,,"",""
2025-04-17,17 Apr,Thursday,13:01,meh,,"",""
2025-04-16,16 Apr,Wednesday,10:04,meh,,"",""
2025-04-15,15 Apr,Tuesday,10:12,meh,,"",""
2025-04-14,14 Apr,Monday,09:52,meh,,"",""
2025-04-13,13 Apr,Sunday,20:00,meh,,"",""
2025-04-12,12 Apr,Saturday,11:00,meh,,"",""
2025-04-11,11 Apr,Friday,16:47,meh,,"",""
2025-04-10,10 Apr,Thursday,20:00,meh,,"",""
2025-04-09,9 Apr,Wednesday,20:00,meh,,"",""
2025-04-08,8 Apr,Tuesday,22:41,meh,,"",""
2025-04-07,7 Apr,Monday,21:14,meh,,"",""
2025-04-06,6 Apr,Sunday,08:19,meh,,"",""
2025-04-05,5 Apr,Saturday,20:00,bad,,"",""
2025-04-04,4 Apr,Friday,08:19,good,,"",""
2025-04-03,3 Apr,Thursday,11:14,meh,,"",""
2025-04-02,2 Apr,Wednesday,09:58,good,,"",""
2025-04-01,1 Apr,Tuesday,21:14,meh,,"",""
2025-03-31,31 Mar,Monday,10:11,meh,,"",""
2025-03-30,30 Mar,Sunday,16:14,meh,,"",""
2025-03-29,29 Mar,Saturday,23:17,good,,"",""
2025-03-28,28 Mar,Friday,20:00,meh,,"",""
2025-03-27,27 Mar,Thursday,18:43,good,,"",""
2025-03-26,26 Mar,Wednesday,14:13,meh,,"",""
2025-03-25,25 Mar,Tuesday,20:00,bad,,"",""
2025-03-24,24 Mar,Monday,14:12,bad,,"",""
2025-03-23,23 Mar,Sunday,14:12,bad,,"",""
2025-03-22,22 Mar,Saturday,14:12,meh,,"",""
2025-03-21,21 Mar,Friday,10:56,meh,,"",""
2025-03-20,20 Mar,Thursday,20:00,meh,,"",""
2025-03-19,19 Mar,Wednesday,09:28,meh,,"",""
2025-03-18,18 Mar,Tuesday,20:00,meh,,"",""
2025-03-17,17 Mar,Monday,20:00,meh,,"",""
2025-03-16,16 Mar,Sunday,11:53,good,,"",""
2025-03-15,15 Mar,Saturday,11:53,meh,,"",""
2025-03-14,14 Mar,Friday,11:53,bad,,"",""
2025-03-13,13 Mar,Thursday,10:17,meh,,"",""
2025-03-12,12 Mar,Wednesday,20:00,meh,,"",""
2025-03-11,11 Mar,Tuesday,01:21,meh,,"",""
2025-03-10,10 Mar,Monday,11:25,meh,,"",""
2025-03-09,9 Mar,Sunday,15:34,meh,,"",""
2025-03-08,8 Mar,Saturday,20:00,good,,"",""
2025-03-07,7 Mar,Friday,14:08,good,,"",""
2025-03-06,6 Mar,Thursday,20:00,good,,"",""
2025-03-05,5 Mar,Wednesday,20:00,good,,"",""
2025-03-04,4 Mar,Tuesday,13:20,good,,"",""
2025-03-03,3 Mar,Monday,20:00,good,,"",""
2025-03-02,2 Mar,Sunday,10:59,good,,"",""
2025-03-01,1 Mar,Saturday,22:47,meh,,"",""
2025-02-28,28 Feb,Friday,20:00,good,,"",""
2025-02-27,27 Feb,Thursday,16:02,good,,"",""
2025-02-26,26 Feb,Wednesday,14:05,meh,,"",""
2025-02-25,25 Feb,Tuesday,20:00,meh,,"",""
2025-02-24,24 Feb,Monday,20:00,meh,,"",""
2025-02-23,23 Feb,Sunday,11:20,bad,,"",""
2025-02-22,22 Feb,Saturday,16:28,meh,,"",""
2025-02-21,21 Feb,Friday,20:00,meh,,"",""
2025-02-20,20 Feb,Thursday,20:01,meh,,"",""
2025-02-19,19 Feb,Wednesday,10:25,meh,,"",""
2025-02-18,18 Feb,Tuesday,14:06,meh,,"",""
2025-02-17,17 Feb,Monday,16:43,good,,"",""
2025-02-16,16 Feb,Sunday,19:32,good,,"",""
2025-02-15,15 Feb,Saturday,20:00,good,,"",""
2025-02-14,14 Feb,Friday,19:32,meh,,"",""
2025-02-13,13 Feb,Thursday,19:26,meh,,"",""
2025-02-12,12 Feb,Wednesday,20:00,meh,,"",""
2025-02-11,11 Feb,Tuesday,15:27,good,,"",""
2025-02-10,10 Feb,Monday,20:00,good,,"",""
2025-02-09,9 Feb,Sunday,20:00,good,,"",""
2025-02-08,8 Feb,Saturday,04:30,meh,,"",""
2025-02-07,7 Feb,Friday,17:23,meh,,"",""
2025-02-06,6 Feb,Thursday,17:43,meh,,"",""
2025-02-05,5 Feb,Wednesday,11:41,meh,,"",""
2025-02-04,4 Feb,Tuesday,20:00,good,,"",""
2025-02-03,3 Feb,Monday,15:41,meh,,"",""
2025-02-02,2 Feb,Sunday,10:48,meh,,"",""
2025-02-01,1 Feb,Saturday,16:33,meh,,"",""
2025-01-31,31 Jan,Friday,20:00,good,,"",""
2025-01-31,31 Jan,Friday,10:46,meh,,"",""
2025-01-30,30 Jan,Thursday,09:13,meh,,"",""
2025-01-29,29 Jan,Wednesday,11:34,meh,,"",""
2025-01-28,28 Jan,Tuesday,07:48,meh,,"",""
2025-01-27,27 Jan,Monday,15:11,bad,,"",""
2025-01-26,26 Jan,Sunday,11:33,meh,,"",""
2025-01-25,25 Jan,Saturday,11:43,meh,,"",""
2025-01-24,24 Jan,Friday,20:00,meh,,"",""
2025-01-23,23 Jan,Thursday,11:43,meh,,"",""
2025-01-22,22 Jan,Wednesday,09:03,meh,,"",""
2025-01-21,21 Jan,Tuesday,09:44,meh,,"",""
2025-01-20,20 Jan,Monday,08:12,meh,,"",""
2025-01-19,19 Jan,Sunday,11:23,meh,,"",""
2025-01-18,18 Jan,Saturday,14:43,good,,"",""
2025-01-17,17 Jan,Friday,08:25,meh,,"",""
2025-01-16,16 Jan,Thursday,10:54,good,,"",""
2025-01-15,15 Jan,Wednesday,20:00,good,,"",""
2025-01-14,14 Jan,Tuesday,12:51,meh,,"",""
2025-01-13,13 Jan,Monday,10:39,meh,,"",""
2025-01-12,12 Jan,Sunday,15:56,meh,,"",""
2025-01-11,11 Jan,Saturday,18:12,meh,,"",""
2025-01-10,10 Jan,Friday,20:00,meh,,"",""
2025-01-09,9 Jan,Thursday,20:00,meh,,"",""
2025-01-08,8 Jan,Wednesday,08:47,meh,,"",""
2025-01-07,7 Jan,Tuesday,12:29,meh,,"",""
2025-01-06,6 Jan,Monday,12:17,good,,"",""
2025-01-05,5 Jan,Sunday,14:18,good,,"",""
2025-01-04,4 Jan,Saturday,13:08,good,,"",""
2025-01-03,3 Jan,Friday,14:24,good,,"",""
2025-01-02,2 Jan,Thursday,19:10,good,,"",""
2025-01-01,1 Jan,Wednesday,22:24,good,,"",""
2024-12-31,31 Dec,Tuesday,19:15,meh,,"",""
2024-12-30,30 Dec,Monday,12:06,meh,,"",""
2024-12-26,26 Dec,Thursday,20:00,meh,,"",""
2024-12-23,23 Dec,Monday,20:00,meh,,"",""
2024-12-19,19 Dec,Thursday,20:00,bad,,"",""
2024-12-19,19 Dec,Thursday,10:38,meh,,"",""
2024-12-18,18 Dec,Wednesday,14:44,meh,,"",""
2024-12-17,17 Dec,Tuesday,20:00,meh,,"",""
2024-12-16,16 Dec,Monday,14:53,meh,,"",""
2024-12-15,15 Dec,Sunday,20:00,good,,"",""
2024-12-14,14 Dec,Saturday,14:02,meh,,"",""
2024-12-13,13 Dec,Friday,15:56,meh,,"",""
2024-12-12,12 Dec,Thursday,13:30,meh,,"",""
2024-12-11,11 Dec,Wednesday,12:45,good,,"",""
2024-12-10,10 Dec,Tuesday,08:16,meh,,"",""
2024-12-09,9 Dec,Monday,14:30,meh,,"",""
2024-11-14,14 Nov,Thursday,20:00,good,,"",""
2024-11-13,13 Nov,Wednesday,23:17,good,,"",""
2024-11-12,12 Nov,Tuesday,23:18,good,,"",""
2024-11-11,11 Nov,Monday,23:18,good,,"",""
2024-11-10,10 Nov,Sunday,23:17,good,,"",""
2024-11-09,9 Nov,Saturday,20:00,good,,"",""
2024-11-08,8 Nov,Friday,10:59,good,,"",""
2024-11-07,7 Nov,Thursday,20:00,good,,"",""
2024-11-06,6 Nov,Wednesday,09:32,good,,"",""
2024-11-05,5 Nov,Tuesday,20:00,good,,"",""
2024-11-04,4 Nov,Monday,15:27,good,,"",""
2024-10-20,20 Oct,Sunday,20:00,good,,"",""
2024-10-19,19 Oct,Saturday,20:00,good,,"",""
2024-10-18,18 Oct,Friday,05:42,good,,"",""
2024-10-17,17 Oct,Thursday,20:00,good,,"",""
2024-10-16,16 Oct,Wednesday,10:30,meh,,"",""
2024-10-15,15 Oct,Tuesday,20:00,good,,"",""
2024-10-14,14 Oct,Monday,19:41,good,,"",""
2024-10-13,13 Oct,Sunday,20:00,good,,"",""
2024-10-12,12 Oct,Saturday,09:56,meh,,"",""
2024-10-11,11 Oct,Friday,12:45,good,,"",""
2024-10-10,10 Oct,Thursday,23:05,good,,"",""
2024-10-09,9 Oct,Wednesday,20:00,meh,,"",""
2024-10-08,8 Oct,Tuesday,21:25,meh,,"",""
2024-10-08,8 Oct,Tuesday,10:47,good,,"",""
2024-10-07,7 Oct,Monday,10:19,meh,,"",""
2024-10-06,6 Oct,Sunday,20:00,meh,,"",""
2024-10-05,5 Oct,Saturday,13:41,meh,,"",""
2024-10-04,4 Oct,Friday,20:36,meh,,"",""
2024-10-03,3 Oct,Thursday,20:00,good,,"",""
2024-10-02,2 Oct,Wednesday,18:58,good,,"",""
2024-10-01,1 Oct,Tuesday,20:00,good,,"",""
2024-09-30,30 Sep,Monday,16:49,good,,"",""
2024-09-29,29 Sep,Sunday,20:00,good,,"",""
