Habit,Date,Value,Unit,Memo,Tag,Habit Type
Осанка / Правильная походка,2023-06-25,1,,,,Build
Осанка / Правильная походка,2023-06-26,1,,,,Build
Осанка / Правильная походка,2023-08-06,1,,,,Build
Осанка / Правильная походка,2023-08-24,1,,,,Build
Осанка / Правильная походка,2023-08-28,1,,,,Build
Осанка / Правильная походка,2023-08-30,1,,,,Build
Осанка / Правильная походка,2023-09-04,1,,,,Build
Осанка / Правильная походка,2023-09-08,1,,,,Build
Осанка / Правильная походка,2023-09-09,0,,,,Build
Осанка / Правильная походка,2023-09-12,1,,,,Build
Осанка / Правильная походка,2023-09-13,1,,,,Build
Осанка / Правильная походка,2023-09-23,1,,,,Build
Осанка / Правильная походка,2023-09-24,1,,,,Build
Осанка / Правильная походка,2023-09-25,1,,,,Build
Осанка / Правильная походка,2023-09-26,1,,,,Build
Осанка / Правильная походка,2023-09-27,1,,,,Build
Осанка / Правильная походка,2023-09-29,1,,,,Build
Осанка / Правильная походка,2023-09-30,1,,,,Build
Осанка / Правильная походка,2023-10-02,1,,,,Build
Осанка / Правильная походка,2023-10-03,1,,,,Build
Осанка / Правильная походка,2023-10-04,1,,,,Build
Осанка / Правильная походка,2023-10-05,0,,,,Build
Осанка / Правильная походка,2023-10-09,1,,,,Build
Осанка / Правильная походка,2023-10-11,1,,,,Build
Осанка / Правильная походка,2023-10-12,1,,,,Build
Осанка / Правильная походка,2023-10-13,1,,,,Build
Осанка / Правильная походка,2024-02-15,1,,,,Build
Осанка / Правильная походка,2024-02-26,1,,,,Build
Осанка / Правильная походка,2024-02-27,1,,,,Build
Осанка / Правильная походка,2024-03-31,1,,,,Build
Осанка / Правильная походка,2024-04-01,1,,,,Build
Осанка / Правильная походка,2024-04-02,1,,,,Build
Осанка / Правильная походка,2024-04-05,1,,,,Build
Осанка / Правильная походка,2024-04-06,1,,,,Build
Осанка / Правильная походка,2024-04-07,1,,,,Build
Осанка / Правильная походка,2024-04-08,1,,,,Build
Осанка / Правильная походка,2024-04-10,1,,,,Build
Осанка / Правильная походка,2024-04-11,1,,,,Build
Осанка / Правильная походка,2024-04-19,1,,,,Build
Осанка / Правильная походка,2024-04-30,1,,,,Build
Осанка / Правильная походка,2025-06-11,1,,,,Build
Coinkeeper,2023-05-02,1,,,,Build
Coinkeeper,2023-05-03,1,,,,Build
Coinkeeper,2023-05-04,1,,,,Build
Coinkeeper,2023-05-05,1,,,,Build
Coinkeeper,2023-05-06,1,,,,Build
Coinkeeper,2023-05-07,1,,,,Build
Coinkeeper,2023-05-08,1,,,,Build
Coinkeeper,2023-05-09,1,,,,Build
Coinkeeper,2023-05-10,1,,,,Build
Coinkeeper,2023-05-11,1,,,,Build
Coinkeeper,2023-05-12,1,,,,Build
Coinkeeper,2023-05-13,1,,,,Build
Coinkeeper,2023-05-14,1,,,,Build
Coinkeeper,2023-05-15,1,,,,Build
Coinkeeper,2023-05-16,1,,,,Build
Coinkeeper,2023-05-17,1,,,,Build
Coinkeeper,2023-05-18,1,,,,Build
Coinkeeper,2023-05-19,1,,,,Build
Coinkeeper,2023-05-20,1,,,,Build
Coinkeeper,2023-05-21,1,,,,Build
Coinkeeper,2023-05-22,1,,,,Build
Coinkeeper,2023-05-23,1,,,,Build
Coinkeeper,2023-05-24,1,,,,Build
Coinkeeper,2023-05-25,1,,,,Build
Coinkeeper,2023-05-26,1,,,,Build
Coinkeeper,2023-05-27,1,,,,Build
Coinkeeper,2023-05-28,1,,,,Build
Coinkeeper,2023-05-29,1,,,,Build
Coinkeeper,2023-05-30,1,,,,Build
Coinkeeper,2023-05-31,1,,,,Build
Coinkeeper,2023-06-01,1,,,,Build
Coinkeeper,2023-06-02,1,,,,Build
Coinkeeper,2023-06-03,1,,,,Build
